2021-07-04 23:59:24,DaengFPL,b'RT @JafarudinJapra: @RyanBayu__ @zenrs Lebih bangsat lagi yg tetep masukkin TKA saat rakyat sedang PPKM.'
2021-07-04 23:59:22,_literaryStanza,b'PPKM; Pada Pagi Kulihat kaMu \xe2\x94\x86\xe2\x9d\xa5'
2021-07-04 23:59:22,HIVSurvival_,"b'RT @zarazettirazr: Selama PPKM darurat, Yang disekat JALANAN LOKAL\nPadahal virus varian barunya katanya dari LUAR NEGRI masuknya\nBandara pi\xe2\x80\xa6'"
2021-07-04 23:59:21,novaaanfd,b'RT @dimas_maulll: Pak presiden kapan mundur\nSetiap ada ppkm darurat pasti ada turis asing yang masuk Indonesia terus apa fungsi dari ppkm i\xe2\x80\xa6'
2021-07-04 23:59:21,jalur5_,"b'RT @CommuterLine: Sesuai dengan aturan yang berlaku selama PPKM Darurat, KAI Commuter mengikuti pembatasan kuota pengguna di atas KRL sejum\xe2\x80\xa6'"
2021-07-04 23:59:19,dinisatashya,"b'RT @henrysubiakto: Saat pandemi Covid lagi tinggi, kita semua sdg serius berupaya melawan serangan corona, msh ada yg sengaja nyebar kabar\xe2\x80\xa6'"
2021-07-04 23:59:18,DewirahmiS,b'RT @Markonah_003: Semangat PPKM opung dibatalkan oleh 20 TKA..'
2021-07-04 23:59:14,mariadi63425147,b'RT @geloraco: Presidium KAMI Se-Jawa: PPKM Darurat adalah Kelicikan Pemerintahan Jokowi Bodohi Rakyat\nhttps://t.co/0NLW2bZXwn'
2021-07-04 23:59:13,pical212,b'RT @CNNIndonesia: 20 TKA China Masuk Sulsel Kala PPKM Darurat Jawa-Bali https://t.co/Kq8cWi5I4g'
2021-07-04 23:59:12,nadiaaslk,b'masa masa bolak balik ambil data then ppkm \xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x82'
